x (µm)	y (µm)	n (1/µm^2)
-14.07	26.264	0.443428534
-13.132	26.264	0
-12.194	26.264	0
-11.256	26.264	0
-10.318	26.264	0
-9.38	26.264	0
-8.442	26.264	0
-7.504	26.264	0
-6.566	26.264	0
-5.628	26.264	0
-4.69	26.264	0
-3.752	26.264	0
-2.814	26.264	2.71034E-05
-1.876	26.264	0
-0.938	26.264	0
0	26.264	0
0.938	26.264	0
1.876	26.264	0.122265632
2.814	26.264	0
3.752	26.264	0
4.69	26.264	0.035530955
5.628	26.264	0
6.566	26.264	0.14737691
7.504	26.264	0.370528753
8.442	26.264	0
9.38	26.264	0
10.318	26.264	0.036913579
11.256	26.264	0
12.194	26.264	0
13.132	26.264	0
14.07	26.264	0.16116752
15.008	26.264	0
15.946	26.264	0.343761254
16.884	26.264	0.175024011
17.822	26.264	0
18.76	26.264	0.591107926
19.698	26.264	0
20.636	26.264	0.541434387
21.574	26.264	0.407023067
22.512	26.264	0.516738169
23.45	26.264	0
-23.45	25.326	0.063390468
-22.512	25.326	0
-21.574	25.326	0.206210985
-20.636	25.326	0.109929909
-19.698	25.326	0
-18.76	25.326	0
-17.822	25.326	0
-16.884	25.326	0.31603882
-15.946	25.326	0.063375274
-15.008	25.326	0.118805515
-14.07	25.326	0
-13.132	25.326	0
-12.194	25.326	0
-11.256	25.326	0
-10.318	25.326	0
-9.38	25.326	0
-8.442	25.326	0
-7.504	25.326	0
-6.566	25.326	0
-5.628	25.326	0
-4.69	25.326	0
-3.752	25.326	0
-2.814	25.326	0.096115761
-1.876	25.326	0
-0.938	25.326	0
0	25.326	0
0.938	25.326	0
1.876	25.326	0.215116709
2.814	25.326	0.349342883
3.752	25.326	0
4.69	25.326	0
5.628	25.326	0.060119157
6.566	25.326	0.075637201
7.504	25.326	0
8.442	25.326	0
9.38	25.326	0
10.318	25.326	0.200204948
11.256	25.326	0
12.194	25.326	0
13.132	25.326	0.236287462
14.07	25.326	0.313406597
15.008	25.326	0.466394308
15.946	25.326	0.348135566
16.884	25.326	0
17.822	25.326	0
18.76	25.326	0.831430454
19.698	25.326	0.760444514
20.636	25.326	0.641553569
21.574	25.326	0
22.512	25.326	0
23.45	25.326	0.251418871
-23.45	24.388	0.215847658
-22.512	24.388	0
-21.574	24.388	0.378569882
-20.636	24.388	0.01369542
-19.698	24.388	0.161110447
-18.76	24.388	0.119794258
-17.822	24.388	0
-16.884	24.388	0
-15.946	24.388	0.353122059
-15.008	24.388	0
-14.07	24.388	0
-13.132	24.388	0
-12.194	24.388	0
-11.256	24.388	0.37085212
-10.318	24.388	0
-9.38	24.388	0
-8.442	24.388	0
-7.504	24.388	0
-6.566	24.388	0.055225038
-5.628	24.388	0
-4.69	24.388	0
-3.752	24.388	0.053772868
-2.814	24.388	0
-1.876	24.388	0
-0.938	24.388	0
0	24.388	0
0.938	24.388	0
1.876	24.388	0
2.814	24.388	0.349342883
3.752	24.388	0.210061682
4.69	24.388	0
5.628	24.388	0
6.566	24.388	0
7.504	24.388	0
8.442	24.388	0.217629442
9.38	24.388	0.253402912
10.318	24.388	0.72888402
11.256	24.388	0.464165381
12.194	24.388	0.10033141
13.132	24.388	0
14.07	24.388	0.162241573
15.008	24.388	0.37816741
15.946	24.388	0.890441114
16.884	24.388	0.148115133
17.822	24.388	0.321710758
18.76	24.388	0.4280441
19.698	24.388	0.734805738
