k	e	err(e)
Å-1	meV	meV
1.668	0.8958	--
1.670	0.8940	--
1.672	0.8923	--
1.674	0.8904	--
1.676	0.8883	--
1.678	0.8862	--
1.680	0.8842	--
1.682	0.8832	--
1.684	0.8809	--
1.686	0.8795	--
1.688	0.8784	--
1.690	0.8755	--
1.692	0.8741	--
1.694	0.8727	--
1.696	0.8710	--
1.698	0.8691	--
1.700	0.8672	0.0015
1.702	0.8652	--
1.704	0.8633	--
1.706	0.8614	--
1.708	0.8598	--
1.710	0.8581	--
1.712	0.8564	--
1.714	0.8554	--
1.716	0.8537	--
1.718	0.8519	--
1.720	0.8505	--
1.722	0.8485	--
1.724	0.8464	--
1.726	0.8444	--
1.728	0.8427	--
1.730	0.8410	--
1.732	0.8394	--
1.734	0.8377	--
1.736	0.8361	--
1.738	0.8344	--
1.740	0.8325	--
1.742	0.8306	--
1.744	0.8287	--
1.746	0.8272	--
1.748	0.8257	--
1.750	0.8242	--
1.752	0.8236	--
1.754	0.8230	--
1.756	0.8192	--
1.758	0.8172	--
1.760	0.8166	--
1.762	0.8143	--
1.764	0.8129	--
1.766	0.8115	--
1.768	0.8089	--
1.770	0.8085	--
1.772	0.8063	--
1.774	0.8045	--
1.776	0.8044	--
1.778	0.8021	--
1.780	0.7995	--
1.782	0.7989	--
1.784	0.7979	--
1.786	0.7962	--
1.788	0.7958	--
1.790	0.7943	--
1.792	0.7922	--
1.794	0.7910	--
1.796	0.7896	--
1.798	0.7877	--
1.800	0.7877	0.0013
1.802	0.7860	--
1.804	0.7844	--
1.806	0.7831	--
1.808	0.7815	--
1.810	0.7802	--
1.812	0.7796	--
1.814	0.7780	--
1.816	0.7767	--
1.818	0.7760	--
1.820	0.7738	--
1.822	0.7727	--
1.824	0.7716	--
1.826	0.7701	--
1.828	0.7689	--
1.830	0.7674	--
1.832	0.7665	--
1.834	0.7652	--
1.836	0.7638	--
1.838	0.7625	--
1.840	0.7619	--
1.842	0.7610	--
1.844	0.7607	--
1.846	0.7597	--
1.848	0.7596	--
1.850	0.7584	--
1.852	0.7580	--
1.854	0.7574	--
1.856	0.7576	--
1.858	0.7563	--
1.860	0.7554	--
1.862	0.7537	--
1.864	0.7536	--
1.866	0.7529	--
1.868	0.7524	--
1.870	0.7511	--
1.872	0.7493	--
1.874	0.7479	--
1.876	0.7470	--
1.878	0.7460	--
1.880	0.7456	--
1.882	0.7446	--
1.884	0.7445	--
1.886	0.7431	--
1.888	0.7439	--
1.890	0.7434	--
1.892	0.7438	--
1.894	0.7438	--
1.896	0.7433	--
1.898	0.7427	--
1.900	0.7427	0.0013
1.902	0.7430	--
1.904	0.7428	--
1.906	0.7426	--
1.908	0.7420	--
1.910	0.7423	--
1.912	0.7417	--
1.914	0.7420	--
1.916	0.7421	--
1.918	0.7417	--
1.920	0.7413	--
1.922	0.7416	--
1.924	0.7416	--
1.926	0.7424	--
1.928	0.7422	--
1.930	0.7422	--
1.932	0.7425	--
1.934	0.7429	--
1.936	0.7433	--
1.938	0.7432	--
1.940	0.7438	--
1.942	0.7441	--
1.944	0.7452	--
1.946	0.7461	--
1.948	0.7462	--
1.950	0.7459	--
1.952	0.7466	--
1.954	0.7461	--
1.956	0.7467	--
1.958	0.7477	--
1.960	0.7469	--
1.962	0.7482	--
1.964	0.7491	--
1.966	0.7491	--
1.968	0.7501	--
1.970	0.7512	--
1.972	0.7519	--
1.974	0.7540	--
1.976	0.7545	--
1.978	0.7555	--
1.980	0.7559	--
1.982	0.7566	--
1.984	0.7574	--
1.986	0.7590	--
1.988	0.7603	--
1.990	0.7612	--
1.992	0.7632	--
1.994	0.7643	--
1.996	0.7651	--
1.998	0.7668	--
2.000	0.7681	0.0013
2.002	0.7685	--
2.004	0.7698	--
2.006	0.7715	--
2.008	0.7723	--
2.010	0.7735	--
2.012	0.7753	--
2.014	0.7761	--
2.016	0.7789	--
2.018	0.7805	--
2.020	0.7826	--
2.022	0.7835	--
2.024	0.7859	--
2.026	0.7870	--
2.028	0.7889	--
2.030	0.7910	--
2.032	0.7931	--
2.034	0.7948	--
2.036	0.7971	--
2.038	0.7990	--
2.040	0.8009	--
2.042	0.8018	--
2.044	0.8037	--
2.046	0.8061	--
2.048	0.8081	--
